,e0b9d79758b - initial,,,,,,408a28e7676 - sup json,,,,,,01b8046c58e - WithName WithValues,,,,,,32596ed3ef9 - only v>3,,,,,,f7ac1e31be7 - no WithName,,,,,
,Average,Perc50,Perc90,Perc95,Perc99,Unit,Average,Perc50,Perc90,Perc95,Perc99,Unit,Average,Perc50,Perc90,Perc95,Perc99,Unit,Average,Perc50,Perc90,Perc95,Perc99,Unit,Average,Perc50,Perc90,Perc95,Perc99,Unit
scheduler_framework_extension_point_duration_seconds,1.762182004,1.324017467,3.983673469,5.616326531,11.05454545,ms,6.027142494,4.170731707,13.5483871,19.31034483,30.34482759,ms,4.749060732,3.300390117,9.6,14.30588235,27.73333333,ms,6.701033702,5.156626506,14.04316547,20.65454545,34.90909091,ms,1.393275119,1.162430939,2.907936508,4.616393443,9.142857143,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,0.639889253,0.369491525,1.44,2.386440678,4.977777778,ms,1448.437762,1548.941548,2357.78831,2458.894155,2539.778831,ms,1189.532872,1211.22807,2276.186253,2418.093126,2531.618625,ms,1575.397905,1626.466165,2396.390977,2492.631579,3413.333333,ms,0.500397699,0.328865979,1.097435897,1.641025641,3.781818182,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchedulingThroughput,106.1111111,119,125,125,125,pods/s,107.7777778,119,125,125,125,pods/s,137.8571429,152,155,155,155,pods/s,96.3,104,108,113,113,pods/s,148.1666667,164,177,177,177,pods/s
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_scheduling_attempt_duration_seconds,14.86022089,12.59770115,23.05882353,39.24528302,63.39622642,ms,4359.011203,4385.57377,8943.797468,9591.898734,10110.37975,ms,2.435848576,2.463926941,3.194520548,6.817391304,12.3826087,ms,4890.496284,4843.040936,9134.168467,9687.084233,10129.41685,ms,10.56555559,10.8976378,15.93700787,28.20338983,57.21212121,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_pod_scheduling_duration_seconds,4397.91674,4436.853933,8975.802469,9607.901235,10113.58025,ms,2.809485766,2.472899408,4.166037736,8.429268293,21.33333333,ms,1.001699577,0.629095074,1.496774194,3.824390244,9.386666667,ms,3.098808607,2.551558753,5.619512195,9.6,20.32941176,ms,3163.347879,3182.835249,5363.809524,7801.904762,9752.380952,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,2.827765289,2.487221571,4.363636364,8.581818182,20.62222222,ms,0.943045548,0.659713168,1.494039735,2.933333333,8.533333333,ms,11.25081092,12.36613272,16.8,30.13333333,58.4,ms,1.075544369,0.691970803,1.6,3.720930233,8.96,ms,2.148712673,1.607823961,3.172616137,6.008163265,12.12631579,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,1.025664292,0.663157895,1.583216783,3.536842105,9.890909091,ms,14.65605758,12.53001133,21.55102041,41.6,62.93333333,ms,3508.983937,3530.835214,7964.444444,9102.222222,10012.44444,ms,16.41185701,12.84261501,27.38461538,42.84745763,69.81818182,ms,0.731184744,0.602719407,0.832,2.545454545,6.260869565,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchedulingThroughput,250,270,310,310,310,pods/s,250,251,329,329,329,pods/s,302,370,406,406,406,pods/s,200,263,276,276,276,pods/s,308.5,161,456,456,456,pods/s
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_scheduling_attempt_duration_seconds,6.901467083,5.634782609,14.48101266,21.16129032,31.48387097,ms,6.849720597,5.43187067,14.59459459,22,32,ms,5.434405805,3.464128843,12.12121212,16.64,29.44,ms,7.747086288,6.227670753,15.68627451,24.8,41.14285714,ms,5.107420371,3.383125864,10.88888889,14.59259259,28,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_pod_scheduling_duration_seconds,1628.658835,1671.705686,2527.892977,3614.117647,4818.823529,ms,1633.469107,1680.503145,2485.534591,3088.253968,4713.650794,ms,1385.137633,1406.846847,2329.369369,2444.684685,2536.936937,ms,1821.742256,1877.973734,3934.814815,4527.407407,5001.481481,ms,1201.594143,1194.666667,2269.090909,2414.545455,2530.909091,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,2.218657673,1.494736842,5.115328467,6.283211679,12.29473684,ms,2.196461968,1.474829932,5.062295082,6.373770492,12.20465116,ms,1.794708707,1.312163892,4.064,5.664,10.93333333,ms,2.438044318,1.596812749,5.376,6.67826087,12.24347826,ms,1.682675622,1.313125846,3.165217391,5.232432432,11.29411765,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,0.687819657,0.389393939,1.441134752,2.21754386,4.654545455,ms,0.65938156,0.385185185,1.429007634,2.276923077,4.8,ms,0.675093912,0.371232877,1.437168142,2.357894737,5.2,ms,0.756081747,0.511420613,1.500621118,2.457142857,5.236363636,ms,0.514787546,0.336054422,1.251282051,1.593162393,3.051162791,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchedulingThroughput,100,104,117,121,121,pods/s,100,106,118,118,118,pods/s,128,142,147,147,147,pods/s,88.09090909,92,102,104,104,pods/s,125,154,162,162,162,pods/s
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,3.179981493,2.61761658,6.198425197,9.802531646,16.29090909,ms,15.62644304,12.77897252,28.75949367,46.50666667,63.57333333,ms,12.03977957,12.54460094,22.91891892,36.65454545,59.92727273,ms,5299.365234,5326.372361,9257.274472,9748.637236,10141.72745,ms,11.33095559,11.54216867,21.78313253,31.42168675,58.31111111,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,1.031536411,0.686532951,1.856,3.768888889,7.876923077,ms,4766.83631,4770.563798,9112.246696,9676.123348,10127.22467,ms,3738.569902,3787.817746,8430.812721,9335.40636,10059.08127,ms,3.536591214,2.728611898,6.492753623,11.13043478,23.22962963,ms,3363.209447,3407.932489,7442.185792,8841.092896,9960.218579,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_scheduling_attempt_duration_seconds,15.59253649,12.77511962,28,44.21052632,61.05263158,ms,3.195417858,2.583523447,6.018348624,10.21935484,21.94285714,ms,2.683804248,2.514285714,4.668852459,8.378181818,14.93333333,ms,1.165707149,0.715955766,2.33442623,4.408888889,10.24,ms,2.378977017,2.006299213,4.378947368,8.090566038,14.08,ms
BenchmarkPerfScheduling/SchedulingMigratedInTreePVs/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_pod_scheduling_duration_seconds,4746.622579,4801.987578,9126.956522,9683.478261,10128.69565,ms,1.013157361,0.682485876,1.659259259,3.140740741,8,ms,1.018764764,0.641837969,1.940983607,3.388235294,9.411764706,ms,18.21034752,13.41271989,31.61212121,50.17283951,85.33333333,ms,0.812531319,0.61809291,1.44,3.033333333,6.311111111,ms
BenchmarkPerfScheduling/SchedulingCSIPVs/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchedulingThroughput,228,142,367,367,367,pods/s,250,143,434,434,434,pods/s,387.5,219,556,556,556,pods/s,162.1666667,166,200,200,200,pods/s,451,277,625,625,625,pods/s
BenchmarkPerfScheduling/SchedulingCSIPVs/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
